id,url,Title,Description,Image
0,http://www.wired.com/2015/06/future-ui-design-old-school-text-messages/,The Future of UI Design? Old-School Text Messages | WIRED,"Texting is easy, familiar, and ubiquitous, so it makes sense that it could become the main channel of communication.",http://www.wired.com/wp-content/uploads/2015/06/GettyImages-488632261.jpg
1,https://medium.com/swlh/the-future-of-conversational-ui-belongs-to-hybrid-interfaces-8a228de0bdb5#.gx0iwcqll,The Future of Conversational UI Belongs to Hybrid Interfaces — Medium,2016 is the year of everything conversational. Messaging apps are taking over the world and app store rankings with incr…,https://cdn-images-1.medium.com/max/1200/1*vgMiTstFJG8nYmTSY0Od_g.png
2,http://opusresearch.net/wordpress/2016/01/07/why-text-based-chat-is-the-future-of-intelligent-assistance-for-facebook-and-wechat/,Why Text-Based Commerce is the Future of Intelligent Assistance for Facebook and WeChat |,"As mobile becomes the preferred way of joining the connected world, will chat and text-based messaging apps be the primary user interface (UI) for intelligent",http://opusresearch.net/wordpress/wp-content/plugins/all-in-one-seo-pack/images/default-user-image.png
3,http://www.coindesk.com/visa-europe-remittances-bitcoin-blockchain/,Why Visa Europe is Testing Remittances on the Blockchain,Visa Europe discusses why it is using the bitcoin blockchain as part of its new proof-of-concept for the remittance market.,http://media.coindesk.com/2015/11/visa-euros-e1448405415133.jpg
4,https://www.cryptocoinsnews.com/btl-unveils-blockchain-remittance-technology-interbit/,BTL Unveils Blockchain Remittance Technology Interbit - CCN: Financial Bitcoin & Cryptocurrency News,"Adding to the fast developing ecosystem of businesses looking to leverage blockchain technology with remittances, BTL Group LTD. has announced that it will showcase its new blockchain technology.",
5,https://hbr.org/2013/07/the-coming-branded-currency-re/,The Coming Branded-Currency Revolution,"Coupons, loyalty points, and gift cards are about to converge into something powerful.",
6,https://www.ted.com/talks/paul_kemp_robertson_bitcoin_sweat_tide_meet_the_future_of_branded_currency?language=en,Paul Kemp-Robertson: Bitcoin. Sweat. Tide. Meet the future of branded currency. | TED Talk | TED.com,"Currency -- the bills and coins you carry in your wallet and in your bank account -- is founded on marketing, on the belief that banks and governments are trustworthy. Now, Paul Kemp-Robertson walks us through a new generation of currency, supported by that same marketing … but on behalf of a private brand. From Nike Sweat Points to bottles of Tide (which are finding an unexpected use in illegal markets), meet the non-bank future of currencies.",https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/991a38e61a189f6b8cefd1ad14df7dbc3e5c8114_1600x1200.jpg?c=1050%2C550&w=1050
7,http://www.coindesk.com/four-boring-predictions-for-private-blockchains-in-2016/,4 Hype-Free Predictions for Private Blockchains in 2016 - CoinDesk,,http://media.coindesk.com/2015/12/Man-with-paperclip-chain.jpg
8,https://blog.ethereum.org/2015/08/07/on-public-and-private-blockchains/,On Public and Private Blockchains - Ethereum Blog,,
9,http://bitfury.com/content/5-white-papers-research/public-vs-private-pt1-1.pdf,Public versus Private Blockchains,,
