id,name,description,image url,url
0,Facebook,"Create an account or log into Facebook. Connect with friends, family and other people you know. Share photos and videos, send messages and get updates.",https://www.facebook.com/images/fb_icon_325x325.png,http://facebook.com
1,Magic,"Get whatever you want on demand with no hassle, through SMS. Send us a text message, and we'll get you anything you want, tip included. We'll order what you need from the appropriate service (e.g. DoorDash, Instacart, Postmates, etc.), and deal with them so you just automatically get what you want, like magic...",https://pbs.twimg.com/profile_images/569415029976358912/uabZUTEs.png,https://getmagicnow.com
2,Quartz,"Read reviews, compare customer ratings, see screenshots, and learn more about Quartz • News in a whole new way. Download Quartz • News in a whole new way and enjoy it on your iPhone, iPad, and iPod touch.",http://is1.mzstatic.com/image/thumb/Purple1/v4/d5/83/aa/d583aad2-1b65-5bb3-f2ed-a15c895e46a9/source/1200x630bf.jpg,https://itunes.apple.com/us/app/quartz-news-in-a-whole-new-way/id1076683233
3,Visa,"Visa Europe Collab is the new international innovation hub from Visa Europe. Working with a network of partners from across the digital and fintech ecosystem, Visa Europe Collab offers start-ups and technology entrepreneurs the insight, tools and connections to forge the technologies and services that will transform citizens’ interactions with payments.",http://static1.squarespace.com/static/54dbbff1e4b0e718c62bd117/t/555db601e4b0f085e3d27a78/1462434524010/?format=1000w,http://www.visaeuropecollab.com
4,BTL Interbit,"With offices in Vancouver and London, Blockchain Tech LTD develops and invests in blockchain technology.",http://btl.co/assets/img/BTLlogo-grey-text.png,http://btl.co
5,Bit Pesa,"BitPesa is a payment platform that offers individuals and businesses an easy way to make payments to and from sub-Saharan Africa.BitPesa accepts digital currency and provides its users with fiat currencies in return. We currently accept Bitcoin and delivered fiat currency directly to mobile phones in Kenya, Nigeria, Uganda, and Tanzania. We also sell Bitcoin in Kenya, Nigeria, and Uganda.BitPesa was launched on November 1, 2013 in Nairobi, Kenya, and also has offices in London and Lagos.",https://www.bitpesa.co/assets/fb-logo-643483acdc630915f049c003c9f0cbf6.png,https://www.bitpesa.co
6,Starbucks,Starbucks uses the highest quality arabica coffee as the base for its espresso drinks. Learn about our unique coffees and espresso drinks today.,http:///static/images/global/logo.png,http://www.starbucks.com
7,Digital Currency Group,The nexus of blockchain technology and finance.,https://d1qb2nb5cznatu.cloudfront.net/startups/i/189005-c37d3b491ea9c6ba3481444dd6a511c5-medium_jpg.jpg?buster=1436828652,http://dcg.co
8,MultiChain ,"MultiChain is a distributed database for financial transactions. It builds on the technology that powers bitcoin to enable private blockchains with managed permissions. MultiChain is optimized to help financial institutions, service providers and startups accelerate their exploration of blockchain technology.","https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1444021806/ha10abeqnkcn9vjl0wn2.png",http://www.multichain.com
9,Citi,"Citigroup is a diversified financial services holding company that provides various financial products and services. The company operates through two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, commercial banking, Citi-branded cards, and Citi retail services. The ICG segment offers various banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. This segment provides wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance, and securities services.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Citi.svg/2000px-Citi.svg.png,http://www.citi.com
