z,name,description,organizations,attachments,text,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,viability,readiness,importance,I-all,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,A1,photo,url,category,cluster,label
10001,Chat UI,"Conversational, natural language based interfaces that allow users to simply talk to a product or service. Users will able to request money to be sent or balances to be displayed via text or voice. Chat interfaces may exist as applications inside existing messaging platforms.","0,1,2","0,1,2",-,5,5,4.5,3.5,4,2,4,5,4,4,4.32,3.83,3.45,2,2,2,2,2,2,2,3,4,1,4,3,2,2,https://trello-attachments.s3.amazonaws.com/56e365f0d0856beecfc61500/1280x854/bdad9302f09969ab9b14ba72547ff025/quartz-app-025-2.0.0.jpg,,0,1,A1
10002,International Remittance,"Much of the cost associated with remittances comes in the form of physical kiosks that accept and distribute cash and in the regulatory environment. Leveraging blockchain, international remittances can be made possible at a fraction of the cost of current methods greatly benefitting many people in underbanked economies.","3,4,5","3,4",-,4,5,4,3.5,3,3.5,2,3,4,3.5,3.79,3.36,3.02,1,4,3,3,4,4,4,4,3,2,1,3,4,3,https://trello-attachments.s3.amazonaws.com/56e3627c15bc60ba231dd72b/1000x842/4db8ccc4defcc271dd5c9b7652e32db3/remittance.png,,1,2,B1
10003,Branded Currency,"Individual organizations and companies will create and mint their own digital currencies that are tradable and interoperable. The new nature of these currencies will allow them to be managed the way people currently manage their money (setting budgets, investing, loaning).","6,7","5,6",-,4,5,3.5,2.5,2.5,2,3,3,3,3.5,3.26,3.01,2.80,3,1,4,4,2,3,1,3,2,1,4,4,4,4,https://trello-attachments.s3.amazonaws.com/56e231bff2270a5c8f2a2c57/1920x1079/8587fc44124c1f5fe269419a13ec81cb/branded_currency.jpg,,1,2,B1
10004,Private Blockchain,"Distributed ledger databases that are specific to a single company or consortium. These blockchains have controlled ""write-permissions"" that will allow companies such as banks or other financial institutions to utilize the efficiencies of blockchain without giving up total control. ","8,9","7,8,9",-,3,5,4,3.5,3,3,2,3,2,4,3.57,3.01,2.61,3,4,2,2,1,1,4,1,4,3,3,3,1,3,https://trello-attachments.s3.amazonaws.com/56e366b32a8ca3e70ec874da/1300x776/8e9a46ae8dd385d5fbc4b647783b3a9d/KPCB-Edge-Publicly-Launches-Edgecoin.jpg,,4,5,E1
10005,Crypto-Escrow,"Allows the transfer of assets between two independent blockchains or crypto-currencies. This new model removes the need for each party to trust the market maker not to steal or loose the assets. Because of this, legal contracts are not needed to mediate the exchange.","10,11","10,11,12",-,3,4.5,4,3,3,3.5,2,3,3,3,3.40,3.07,2.80,1,1,2,1,4,1,1,4,2,4,2,3,1,3,https://trello-attachments.s3.amazonaws.com/56e2373f9e0eb20d9059b809/1038x794/0e4c91377e96a235921d3e714042f5a9/how-it-works%402x.png,,1,2,B1
10006,Blockchain Prediction Market,"Uses the power of the crowd to forecast and predict events by allowing for the buying and selling of shares in a specific outcome. Enabled by decentralized public ledgers, event forecasting by consensus can have effects on everything from finance to healthcare to governance.","12,13","13,14,15",-,3,4,3,3.5,3,3,2,3,5,2.5,3.26,3.03,2.83,4,3,3,2,4,3,4,2,4,4,3,2,2,1,https://trello-attachments.s3.amazonaws.com/56e234062c0d5cf1954da80c/1000x667/c6ab5363b52b854b1f9aa61c87d092e4/market-rate.jpg,,3,4,D1
10007,Asset Digitization,"Using to little to no Bitcoin, one can create assets and trade them in a peer-to-peer fashion. In addition to providing efficiencies and security to existing asset classes, this opens up the ability to create entirely new types of digital assets for everything from concert tickets to gift card vouchers.","14,15","16, 17",-,4,4.5,3,3,3,2,3,3,5,2.5,3.40,3.09,2.83,1,2,3,1,1,1,1,4,2,1,2,3,2,2,https://trello-attachments.s3.amazonaws.com/56e23759ec27501d793e9c75/1536x1536/5d55e85c589683c1fa00dbea9b14a5ec/Customer_20experience_20design_1536x1536_Original.ashx.jpeg,,1,2,B1
10008,Quantum Encryption,"Makes digital information and transactions ultra-secure. In a world where nefarious hackers have access to quantum computers, a quantum based encryption algorithm will be needed. These algorithms use the unique keys that leverage quantum particle superpositions.","16,17,18","18, 19, 20",-,3,3,2,3.5,1.5,1.5,2,2,3,1.5,2.36,2.09,1.88,2,4,3,3,2,1,2,2,4,4,1,2,3,4,https://trello-attachments.s3.amazonaws.com/56e22f206ab1a2af6b7f033e/2000x1000/d2db57386bf26cd5dc587cd049bef361/Encryption.jpg,,4,5,E1
10009,Crypto-Identity,"Cryptographically secure identification records that allow for users to control the transmission and visibility of data to third parties. Enabled by the blockchain, crypto-ID also allows for a single identity source to serve as the user login for a number of applications eliminating redundancies across databases and companies. Using a combination of cryptography and a blockchain ledger, an ID can be verified in real time by anyone.","19,20","21, 22, 23",-,4,4,2.5,3,3,3.5,3,3,4,3.5,3.19,3.27,3.36,2,3,3,4,3,3,3,1,3,1,4,1,3,2,https://trello-attachments.s3.amazonaws.com/56e2355ef00e5391a7936966/989x1026/4f98fba5e0aa76e2ad5c16e04d595c74/ShoCard-in-Hand.png,,4,5,E1
10010,Smart Contract,"Executable and automatically enforceable contracts that need no third party. Property that is embedded with a digital component such as a smart appliance can use and enforce smart contracts without the need for authorization by a user for example. Because these digital contracts are  publicly viewable and auditable, and distributed in blockchain, they are able to self-regulate and execute automatically if their programmed conditions are met.","21,22,23","24, 25, 26",-,5,4,3,3.5,3.5,3.5,3,3,4,3,3.69,3.46,3.26,2,2,4,4,1,4,1,1,3,3,4,1,2,3,https://trello-attachments.s3.amazonaws.com/56e23204ebd34604a358b30c/2606x1552/9ccd349dee18bad612b42b04579a726e/smartcontracts.png,,4,5,E1
10011,Cognitive Financial Advice,"Systems that can provide financial advice by developing deep domain insights and translating this information in a user friendly way. Additionally, these systems can contextualize insights with regard to a specific user's information. These systems learn and grow over time and are far more powerful in the mining of ""big data"" than traditional systems. ","18,24","27, 28, 29",-,3,4,3,4,3,2.5,2,4,3,2,3.33,2.87,2.52,3,3,2,2,3,3,4,4,4,3,3,4,3,1,"https://trello-attachments.s3.amazonaws.com/56e22aa515a2625447e6cbec/800x600/f47477752c1a032df01fcf30da03d180/cognitive_finance.jpg, https://trello-attachments.s3.amazonaws.com/56e22aa515a2625447e6cbec/1081x1072/cbe690cc0ed62a308eb608c5ef5776fc/whatwedo_computer.jpg",,0,1,A1
10012,Digital Wallet,"Software wallets today already do more than their leather counterparts; they are streamlining transactions, and moving a host of new currencies and economies. Smartphones can use scanning technology to scan 2D barcodes, NFC components to make payments, and location services to develop relationships with nearby merchants. Expect a crop of apps and services that let you store, synchronise, track and share the contents of your wallet across devices, and let you pay in a multitude of units from Google Credits, Canadian Cryptodollars to Facebook shares.","25,16",30,-,5,5,5,3,4.5,2.5,4,4,3,4,4.33,3.79,3.37,1,4,2,4,3,4,4,3,3,2,3,4,3,2,https://trello-attachments.s3.amazonaws.com/56ddddf82ef1ce85d1dda289/1024x576/f06345856379817440cb6c520b1e509c/apple-sep2014-event-09.png,,1,2,B1
